artist;title;rank;weeks
"Taylor Swift";"Cruel Summer";1;24
"Doja Cat";"Paint The Town Red";2;11
"SZA";"Snooze";3;45
"Drake Featuring Yeat";"IDGAF";4;2
"Bad Bunny";"Monaco";5;1
"Zach Bryan Featuring Kacey Musgraves";"I Remember Everything";6;8
"Luke Combs";"Fast Car";7;30
"Drake Featuring J. Cole";"First Person Shooter";8;2
"Morgan Wallen";"Last Night";9;38
"Morgan Wallen";"Thinkin' Bout Me";10;33
"Gunna";"Fukumean";11;18
"Olivia Rodrigo";"Vampire";12;16
"Dua Lipa";"Dance The Night";13;21
"Bad Bunny & Young Miko";"Fina";14;1
"Drake";"Virginia Beach";15;2
"Drake Featuring Sexyy Red & SZA";"Rich Baby Daddy";16;2
"Tate McRae";"Greedy";17;5
"Miley Cyrus";"Flowers";18;40
"Nicki Minaj & Ice Spice With Aqua";"Barbie World";19;17
"Bad Bunny & Feid";"Perro Negro";20;1
"Drake Featuring SZA";"Slime You Out";21;5
"Bad Bunny";"Nadie Sabe";22;1
"Jelly Roll";"Need A Favor";23;29
"Bad Bunny & Mora";"Hibiki";24;1
"Taylor Swift";"Anti-Hero";25;52
"Miley Cyrus";"Used To Be Young";26;8
"Lil Durk Featuring J. Cole";"All My Life";27;23
"Bad Bunny";"Mr. October";28;1
"Bailey Zimmerman";"Religiously";29;24
"Bad Bunny";"Cybertruck";30;1
"Lainey Wilson";"Watermelon Moonshine";31;17
"Bad Bunny & Luar La L";"Telefono Nuevo";32;1
"Noah Kahan With Post Malone";"Dial Drunk";33;18
"Bad Bunny";"Baby Nueva";34;1
"Mitski";"My Love Mine All Mine";35;4
"SZA";"Kill Bill";36;45
"Jelly Roll With Lainey Wilson";"Save Me";37;18
"Bad Bunny & Bryant Myers";"Seda";38;1
"Usher, Summer Walker & 21 Savage";"Good Good";39;10
"Billie Eilish";"What Was I Made For?";40;14
"Doechii Featuring Kodak Black";"What It Is (Block Boy)";41;24
"Olivia Rodrigo";"Bad Idea Right?";42;10
"Chris Stapleton";"White Horse";43;13
"Metro Boomin, The Weeknd & 21 Savage";"Creepin'";44;46
"David Kushner";"Daylight";45;27
"Tyla";"Water";46;3
"Bad Bunny";"Un Preview";47;4
"Offset Featuring Travis Scott";"Say My Grace";48;1
"Drake Featuring Bad Bunny";"Gently";49;2
"Jason Aldean";"Try That In A Small Town";50;14
"Travis Scott";"I Know ?";51;12
"Bad Bunny";"Gracias Por Nada";52;1
"Bad Bunny";"Vou 787";53;1
"Bad Bunny";"Where She Goes";54;20
"Doja Cat";"Agora Hills";55;4
"Drake Featuring 21 Savage";"Calling For You";56;2
"Bad Bunny & YOVNGCHIMI";"Mercedes Carota";57;1
"Paul Russell";"Lil Boo Thang";58;5
"Selena Gomez";"Single Soon";59;8
"Drake";"Daylight";60;2
"Bad Bunny";"Los Pits";61;1
"Karol G & Peso Pluma";"Qlona";62;10
"Drake";"8am In Charlotte";63;2
"Oliver Anthony Music";"Rich Men North Of Richmond";64;10
"Bad Bunny";"No Me Quiero Casar";65;1
"Drake";"What Would Pluto Do";66;2
"Travis Scott Featuring Drake";"Meltdown";67;12
"Drake";"Fear Of Heights";68;2
"Cardi B & Megan Thee Stallion";"Bongos";69;6
"Bad Bunny";"Vuelve Candy B";70;1
"Peso Pluma, Gabito Ballesteros & Junior H";"Lady Gaga";71;17
"Young Nudy Featuring 21 Savage";"Peaches & Eggplants";72;20
"Rod Wave";"Great Gatsby";73;5
"Teddy Swims";"Lose Control";74;10
"Noah Kahan";"Stick Season";75;3
"Jessie Murph & Jelly Roll";"Wild Ones";76;2
"Kenya Grace";"Strangers";77;5
"Bad Bunny";"Baticano";78;1
"Olivia Rodrigo";"Get Him Back!";79;6
"Bad Bunny & Eladio Carrion";"Thunder y Lightning";80;1
"Drake";"7969 Santa";81;2
"Drake Featuring PARTYNEXTDOOR";"Members Only";82;2
"Bad Bunny, Arcangel, De La Ghetto & Nengo Flow";"Acho PR";83;1
"Drake";"Bahamas Promises";84;2
"Drake";"Drew A Picasso";85;2
"Drake";"Tried Our Best";86;2
"Zach Bryan Featuring The War And Treaty";"Hey Driver";87;8
"Drake Featuring Teezo Touchdown";"Amen";88;2
"Drake Featuring Chief Keef";"All The Parties";89;2
"Lil Tecca";"500lbs";90;4
"Myke Towers";"LaLa";91;15
"Offset & Don Toliver";"Worth It";92;1
"Jung Kook & Jack Harlow";"3D";93;3
"Sexyy Red";"SkeeYee";94;7
"Drake Featuring Lil Yachty";"Another Late Night";95;2
"Morgan Wallen";"Everything I Love";96;34
"Victoria Monet";"On My Mama";97;5
"Rod Wave Featuring 21 Savage";"Turks & Caicos";98;5
"*NSYNC";"Better Place";99;3
"HARDY";"Truck Bed";100;18
